1. Browser tests
2. Production config
3. Email/Google/Stripe E2E
4. Voice real devices
5. Monitoring + backup
6. Legal
7. Beta.


| Prioritate    | Ce mai e de făcut                          |      Status acum | Ce înseamnă concret                                                                                          |
| ------------- | ------------------------------------------ | ---------------: | ------------------------------------------------------------------------------------------------------------ |
| 🔴 P0         | **Rulează browser tests**                  |                ⏳ | Cele **32 Playwright tests** există, dar ultimul CI le-a dat `skipped`. Rulează-le pe `main` actual.         |
| 🔴 P0         | **Finalizează configurarea production**    |               🟡 | Railway: `DJANGO_DEBUG=false`, domain/hosts, PostgreSQL, OpenAI, legal vars, email, Google, Stripe etc.      |
| 🔴 P0         | **Email production**                       |               🟡 | Resend/SMTP real + `DEFAULT_FROM_EMAIL`, apoi test signup → email → confirmare și password reset.            |
| 🔴 P0         | **Google Login production**                |               🟡 | OAuth client real, redirect `corect.uk/accounts/google/login/callback/`, consent screen + Terms/Privacy.     |
| 🔴 P0         | **Stripe Live**                            |               🟡 | Live key, live `price_id`, webhook live, Customer Portal, prețurile din site identice cu Stripe.             |
| 🔴 P0         | **Test Stripe end-to-end**                 |                ⏳ | Free → Checkout → plată → webhook → Pro → Portal → cancel → downgrade.                                       |
| 🔴 P0         | **`check --deploy` în production config**  |                ⏳ | `python manage.py check --deploy` cu variabilele reale.                                                      |
| 🔴 P0         | **Migrarea DB production**                 |                ⏳ | `report_email_integrity` → `migrate` → verificare date.                                                      |
| 🔴 P0         | **Learning profile rebuild**               |                ⏳ | Rulează o dată `python manage.py rebuild_learning_profiles`.                                                 |
| 🔴 P0         | **Job zilnic cleanup**                     |                ❌ | Programează `python manage.py cleanup_assistant` zilnic.                                                     |
| 🔴 P0         | **Production health monitoring**           |               🟡 | Programează `check_production_health`, ideal la ~15 minute.                                                  |
| 🔴 P0         | **Uptime monitoring**                      |                ❌ | Monitor extern pentru `/healthz` și `/readyz`.                                                               |
| 🔴 P0         | **Sentry**                                 |               🟡 | Codul există; trebuie DSN/config production și testarea unei erori controlate.                               |
| 🔴 P0         | **PostgreSQL backup**                      |                ❌ | Backup automat + retention.                                                                                  |
| 🔴 P0         | **Test restore DB**                        |                ❌ | Demonstrează că backup-ul chiar poate fi restaurat.                                                          |
| 🔴 P0         | **Voice pe dispozitive reale**             |                ⏳ | Desktop Chrome/Edge + iPhone Safari + Android Chrome.                                                        |
| 🔴 P0         | **Verificare accent British TTS**          |                ⏳ | Ascultat manual; `cedar` trebuie să sune suficient de British.                                               |
| 🟠 P1         | **Operator juridic**                       |                ❌ | Nume legal/operator, adresă de corespondență și contact public.                                              |
| 🟠 P1         | **ICO / data protection**                  |                ⏳ | Verifică dacă trebuie ICO fee/registration.                                                                  |
| 🟠 P1         | **Terms & Privacy review**                 |                ⏳ | Review profesionist UK înainte de commercial launch.                                                         |
| 🟠 P1         | **Payment Terms review**                   |                ⏳ | Subscription, cancellation, refund, 14-day withdrawal, VAT etc.                                              |
| 🟠 P1         | **Analytics/cookies review**               |                ⏳ | Confirmă dacă modelul actual default-on + opt-out este potrivit legal.                                       |
| 🟠 P1         | **Definește retention periods**            |                ❌ | Usage events, audio analytics, anonymous visitors, logs.                                                     |
| 🟠 P1         | **Automatic retention cleanup**            |                ❌ | Nu doar Privacy Policy; ștergere automată efectivă după perioadele stabilite.                                |
| 🟠 P1         | **OpenAI data retention review**           |                ⏳ | Confirmă condițiile reale ale contului/API și wording-ul Privacy.                                            |
| 🟠 P1         | **Review „Unlimited / Fair Use”**          |               ⚠️ | Pro spune „nelimitat”, dar există plafon tehnic de **200/zi**. Aș clarifica wording-ul înainte de marketing. |
| 🟠 P1         | **Review promo £9.99 → £4.99**             |                ⏳ | Prețul tăiat trebuie să fie justificabil ca preț real.                                                       |
| 🟠 P1         | **Închide PR-ul Cloudflare**               |               ⚠️ | Dacă rămâi pe Railway, PR-ul Cloudflare este vechi și divergent; nu mai merită menținut.                     |
| 🟠 P1         | **Actualizează `todo.txt`**                |               ⚠️ | Are date vechi: 278 tests etc.; acum sunt **493 backend tests**.                                             |
| 🟠 P1         | **Curăță `LEGAL_LAUNCH_CHECKLIST.md`**     |               ⚠️ | Unele puncte spun încă că emailul nu este verificat/trimit emailuri, ceea ce nu mai reflectă codul actual.   |
| 🟠 P1         | **Live AI smoke tests**                    |                ⏳ | EN, RO→EN, polite, `must_not_invent`, moderation, injection.                                                 |
| 🟡 P2         | **Beta privată**                           |                ❌ | 10–30 utilizatori reali înainte de advertising serios.                                                       |
| 🟡 P2         | **Monitorizează funnel**                   | ✅ infrastructură | Visit → signup → usage → quota → Pro CTA → Checkout → subscription.                                          |
| 🟡 P2         | **Monitorizează cost/user**                | ✅ infrastructură | Text AI + STT + realtime + TTS + learning AI.                                                                |
| 🟡 P2         | **Analizează moderation false positives**  |                ⏳ | Din comportamentul utilizatorilor reali.                                                                     |
| 🟡 P2         | **Analizează calitatea learning/practice** |                ⏳ | Dacă oamenii chiar folosesc practice, progress și mistakes.                                                  |
| 🟢 Mai târziu | Funcții noi                                |       ⛔ momentan | Nu aș mai adăuga feature-uri mari până nu avem feedback din beta.                                            |









| Milestone                          |                                                     Stare reală acum |
| ---------------------------------- | -------------------------------------------------------------------: |
| M1 — Core AI                       |                                                               ✅ DONE |
| M2 — Accounts + History + Learning |                                                               ✅ DONE |
| M3 — Analytics + costuri           |                                                               ✅ DONE |
| M4 — Voice + British TTS           |                   🟢 Feature complete, mai trebuie validarea manuală |
| **M5 — Production**                |            🟡 Aproape, dar mai sunt câteva blocaje înainte de deploy |
| M6 — Beta                          |                                                                    ⏳ |
| **M7 — Free / Pro**                | 🟡 Stripe Checkout + webhook + portal în cod; lipsește configurarea live și revizuirea juridică |
| M8 — Optimisation                  |                                                                    ⏳ |




| Zonă                                |                 Status | Starea reală acum                                                     |
| ----------------------------------- | ---------------------: | --------------------------------------------------------------------- |
| Django + PostgreSQL + HTMX          |                 ✅ 100% | Arhitectură stabilă                                                   |
| UI responsive                       |                  ✅ 99% | Desktop/mobile, voice și realtime verificate fără overflow            |
| Interfață publică în română         |                 ✅ 100% | Inclusiv voice/realtime states                                        |
| **Homepage animated examples**      |                 ✅ 100% | 5 exemple conversaționale animate                                     |
| Example corrections                 |                 ✅ 100% | Greșeala tăiată roșu → corecția verde                                 |
| Fake example isolation              |                 ✅ 100% | Overlay decorativ; nu intră în `textarea.value` și nu poate fi trimis |
| Reduced motion                      |                 ✅ 100% | Exemplu static, fără typing animation                                 |
| **„Vreau să sune natural!”**        |                 ✅ 100% | Un singur buton; fără Corectare/Traducere                             |
| Un singur apel AI per cerere        |                 ✅ 100% | EN și RO: 1 `responses.parse` + moderare în paralel                   |
| Registru de limbi                   |                 ✅ 100% | `apps/assistant/languages.py`; pregătit pentru alte limbi            |
| EN → corectat + natural             |                 ✅ 100% | Greșeli explicate; varianta naturală doar când ajută                 |
| British English                     |                 ✅ 100% | Prompt dedicat                                                        |
| Natural version                     |                 ✅ 100% | Inclusiv propoziții corecte dar nenaturale                            |
| Silent punctuation/capitalisation   |                 ✅ 100% | Nu sunt raportate ca greșeli                                          |
| RO → engleză britanică naturală     |                 ✅ 100% | Intenția, nu cuvintele (prompt v8); fără al doilea apel               |
| EN → RO                             |              ⚪ Retras | Istoricul vechi rămâne vizibil                                        |
| Eval calitate limbă (live)          |                 ✅ 100% | 303 cazuri (48 `ro_intent_first`), `eval_naturalize --live`           |
| Măsurare latență                    |                 ✅ 100% | Server-Timing, ledger, `latency_report`, benchmark text/voce         |
| OpenAI text                         |                 ✅ 100% | `gpt-5.6-luna`, verificat live                                        |
| Structured Outputs                  |                 ✅ 100% | Pydantic                                                              |
| `store=False`                       |                 ✅ 100% | Păstrat                                                               |
| Accounts                            |                  ✅ 98% | Signup/login/logout, confirmare email, Google (allauth)               |
| Profile                             |                 ✅ 100% | Username, email, password                                             |
| History                             |                 ✅ 100% | Privat per user                                                       |
| Mistake categories                  |                 ✅ 100% | Pagini separate                                                       |
| Progress                            |                 ✅ 100% | Chart.js + 30-day progress                                            |
| Practice                            |                  ✅ 95% | Fără cost AI                                                          |
| Rate limiting text                  |                 ✅ 100% | Doar pe minut (anti-abuz), PostgreSQL + concurență                    |
| **Limite zilnice pe plan**          |                 ✅ 100% | Anonim 5, Free 20, Pro 200 (Fair Use); ora Londrei; rezervare + refund |
| Voce vs. limita planului            |                 ✅ 100% | Microfonul, transcrierea și pronunția nu consumă; textul trimis = 1   |
| **Mod Politicos**                   |                 ✅ 100% | Variantă britanică politicoasă mereu; prompt separat, un singur apel  |
| Redesign homepage                   |                 ✅ 95% | Desktop după referință; mobil pe un ecran (editor, beneficii, /about/) |
| Copiere rezultat                    |                 ✅ 100% | Icon discret dreapta-jos la fiecare text în engleză                   |
| Analytics pe plan                   |                 ✅ 100% | Plan la momentul cererii, respingeri de cotă, conversie               |
| Rate limiting voice                 |                 ✅ 100% | STT/TTS separat                                                       |
| Duplicate submissions               |                 ✅ 100% | Protejate                                                             |
| Admin Analytics                     |                 ✅ 100% | `/admin/analytics/`                                                   |
| Registered analytics                |                 ✅ 100% | User + tokens + cost                                                  |
| Anonymous visitors                  |                 ✅ 100% | UUID anonim                                                           |
| Anonymous → signup                  |                 ✅ 100% | Conversion tracking                                                   |
| Anonymous privacy                   |                 ✅ 100% | Fără text/răspuns/IP                                                  |
| Token tracking text                 |                 ✅ 100% | input/output/cached/reasoning                                         |
| Cost text OpenAI                    |                 ✅ 100% | Cost real                                                             |
| Historical backfill                 |                 ✅ 100% | 35/35                                                                 |
| Error analytics                     |                 ✅ 100% | failed/rejected/error codes                                           |
| Analytics filters                   |                 ✅ 100% | Today / 7 / 30 / 90 / all                                             |
| 🎤 Microfon în textarea             |                 ✅ 100% | Integrat                                                              |
| File recording fallback             |                 ✅ 100% | `MediaRecorder` + `gpt-transcribe`                                    |
| **Realtime speech-to-text**         | ✅ **100% implementat** | `gpt-live-transcribe` + WebRTC                                        |
| Realtime text while speaking        |                 ✅ 100% | Deltas apar înainte de Stop                                           |
| Realtime authentication             |                 ✅ 100% | Client secret temporar; API key nu ajunge în browser                  |
| Realtime → Django audio proxy       |                 ✅ 100% | **Nu există**; audio merge direct browser → OpenAI                    |
| Auto-stop silence                   |                 ✅ 100% | După ~3 secunde fără transcript nou                                   |
| Hard voice limit                    |                 ✅ 100% | `VOICE_MAX_SECONDS=60`                                                |
| EN realtime transcription           |                 ✅ 100% | Verificat live                                                        |
| RO realtime transcription           |                 ✅ 100% | Verificat live, inclusiv diacritice                                   |
| Mixed EN/RO                         |                 🟡 90% | Suport implementat; testul sintetic mixed nu a fost suficient de bun  |
| Realtime fallback                   |                 ✅ 100% | `gpt-transcribe` dacă live nu poate porni                             |
| Realtime kill switch                |                 ✅ 100% | `VOICE_REALTIME_ENABLED`                                              |
| Realtime session cleanup            |                 ✅ 100% | Sesiunile abandonate sunt închise/curățate                            |
| 🔊 Correct pronunciation            |                  ✅ 95% | Funcțional                                                            |
| 🔊 Native pronunciation             |                  ✅ 95% | Funcțional                                                            |
| 🔊 Translation pronunciation        |                  ✅ 95% | Funcțional                                                            |
| 🇬🇧 British TTS instructions       |                 ✅ 100% | Neutral Southern British explicit                                     |
| 🇬🇧 Accent British verificat de om |                 🟡 80% | Încă trebuie ascultat manual                                          |
| TTS model                           |                 ✅ 100% | `gpt-4o-mini-tts`                                                     |
| TTS voice                           |                 ✅ 100% | `cedar`, configurabil                                                 |
| No autoplay                         |                 ✅ 100% | Cost doar la speaker click                                            |
| TTS anti-abuse                      |                 ✅ 100% | Signed expiring tokens                                                |
